text,alt,notes,section,type,controller.tree,controller.links,controller.fitViewNodes,controller.fadedNodes,controller.secondaryLabel,controller.edgeHighlight,controller.showPrimaryText,controller.component.id,controller.component.type
What if today’s most iconic sounds aren’t just from today…,,,open,sticky,open,88888888071,"999999999026,999999999025",,,,true,88888888071-open,crossfade
...but are inherited from a family of sound…,,,open,sticky,open,"88888888072,88888888071","999999999027,999999999026",,,,true,88888888072-open,crossfade
"# How sound is passed down over generations

#### By [Stephen Lurie](https://pudding.cool/author/stephen-lurie/). Graphics by [Jared Whalen](https://pudding.cool/author/jared-whalen/)",,,cold,inline,,,"243164,252744",,,,,,
"Some musical inheritance is pretty obvious, because it shares iconic sounds, such as the bass from “Under Pressure,” which was transformed into “Ice Ice Baby.”",,,cold,sticky,cold,88888888057,"243164,252744",,,,true,88888888057-cold,crossfade
"But many songs have a far more complex and concealed musical history, spanning genres, cultures, and even centuries. 

Let’s trace the family history of one.",,,intro,inline,,,,,,,,,crossfade
Orchestral music for a play in 1875 becomes electronic music for a cartoon in 1983.,,,intro,sticky,hit,67872,"253610,64739",,,,true,67872-hit,crossfade
Which is transformed by a minor rap group...,,,intro,sticky,hit,"13504,67872","234958,253610",,,,true,13504-hit,crossfade
...which then presents a rap giant with the lyrics to start his breakout hit…,,,intro,sticky,hit,"12882,13504,67872","234780,234958",,,,true,12882-hit,crossfade
"...which connects to a chain of lyrical references in the diss tracks of the rap rivalry between Biggie Smalls and Tupac Shakur.

Finally, in 1996, over 120 years after “In the Hall of the Mountain King,” 2pac released the song at the end of this musical lineage, <span data-inline-audio-id=""233667"">“Hit ’Em Up”</span>.",,,intro,sticky,hit,"4047,12823,12882,13504,67872","233667,234899,234780",,,,,,
"“Hit ’Em Up’s” lineage depicts the many kinds of musical DNA that's passed down, over time. In this example, each generation is connected by a sample—where a song reuses part of an original recording—or an interpolation—where a song uses a re-recording of sound.",,,intro,sticky,hit,"4047,12823,12882,13504,67872",,,"64739.top.1895;
64739.right.Great Great Great Grandparent;
253610.right.Great Great Grandparent;
234958.right.Great Grandparent;
234780.right.Grandparent;
234899.right.Parent;
233667.bottom.1996",,,,
"This isn’t “Hit ’Em Up’s” only lineage, but one of many, connected through samples, interpolations, covers and remixes.

Another lineage begins with the smooth R&B passed down from Dionne Warwick’s “Walk on By.” Next, Isaac Hayes reinterprets the song and slows down the tempo.",,,intro,sticky,hit,"1208,1218,560,561,4048,4047,12823,12882,13504,67872,88888888068","232485,271914","253610,64739,234958,234780,234899",,,true,1218-hit,crossfade
This catches the ear of Biggie Smalls and forms the basis of his track “Warning”... ,,,intro,sticky,hit,"1208,1218,560,561,4048,4047,12823,12882,13504,67872,88888888068","234129,232485","253610,64739,234958,234780,234899",,,true,1208-hit,crossfade
"…and just a few more generations below “Warning” is once again, “Hit ’Em Up.”",,,intro,sticky,hit,"1208,1218,560,561,4048,4047,12823,12882,13504,67872,88888888068",,"253610,64739,234958,234780,234899","271914.top.1964;
233667.bottom.1996",,,,
And there’s the soul of Tom Jones’ “Looking Out My Window.” Brooklyn rap group Stetsasonic brings Tom Jones’ drums into rap rhythms.,,,intro,sticky,hit,"4049,20493,20584,88888888001,1208,1218,560,561,4048,4047,13504,67872,12882,12823,88888888068","241514,999999999001","232485,271914,234129,232162,234148,253610,64739,234958,234780,234899",,,true,88888888001-hit,crossfade
"Stetsasonic’s iconic line “Go Brooklyn” sets out a chain of beats, and lyrics set to those beats, that leads again to “Hit ’Em Up.”",,,intro,sticky,hit,"4049,20493,20584,88888888001,1208,1218,560,561,4048,4047,13504,67872,12882,12823,88888888068",,"232485,271914,234129,232162,234148,253610,64739,234958,234780,234899",233667.bottom.1996,,,,
"And, crucially, there’s the funk of “Blind Man Can See It” by James Brown, one of the “grandparents” of “Hit ’Em Up” from a different line. This iconic bass riff is a clear influence on the bassline of Dennis Edwards and Siedah Garrett’s “Don’t Look Any Further.”",,,intro,sticky,hit,"3946,3944","233659,240512",,,,true,3946-hit,crossfade
“Hit ’Em Up” then samples “Don’t Look Any Further’s” baseline.,,,intro,sticky,hit,"3946,3944","233667,233659",,,,true,3944-hit,crossfade
That’s four branches building up to this one song.,,,intro,sticky,hit,"3946,3944,4049,20493,20584,88888888001,1208,1218,560,561,4048,4047,13504,67872,12882,12823,88888888068",,,"64739.top.1895;
271914.top.1964;
240512.top.1973;
999999999001.top.1968;
233667.bottom.1996",,,,
"This DNA is made up of <span class=""highlight beats"">borrowed beats</span>, <span class=""highlight lyrics"">loaned lyrics</span>, and <span class=""highlight melody"">multipurpose melodies</span>.",,,intro,sticky,hit,"3946,3944,4049,20493,20584,88888888001,1208,1218,560,561,4048,4047,12823,12882,13504,67872,88888888068",,"560,561,1208,1218,3944,3946,88888888068,4048,4049,12882,13504,20493,20584,232162,234129,232485,233659,234148,234958,236469,236794,240512,271914","64739.top.Melody;
999999999001.top.Beats;
234780.top.Lyrics",,,,
"All of this is just a fraction of the full DNA; each of these songs also have their own origins.

Altogether, “Hit ’Em Up” is the descendent of a larger history, a culmination of an 82-song family tree (the branches we’ve already explored are <span class=highlight>highlighted</span>).

Some of “Hit ’Em Up’s” ancestors are directly audible in the final product; others are not. But all of these tracks were influences, big and small, in the generational development of “Hit ’Em Up.”
",,,intro,sticky,hit,hit,,,"64739.top.Mountain King;
233667.right.Hit ’Em Up","3946,3944,4049,20493,20584,88888888001,1208,1218,560,561,4048,4047,12823,12882,13504,67872,12882,12823,88888888068",,,
"<h1 data-section-header=""music"">Musical cousins</h1>",,,dna,inline,,,,,,,,,
"### When we consider samples, remixes, interpolations, and covers as  musical family ties, we can trace how the DNA of one song can spread across genres and cultures. We can see how very different songs might actually be related.",,,dna,inline,,,,,,,,,
